Year,Plot,Layer ,Pignatti_1982,Bartolucci et al_2024,spp_presence_cover 
2003,11,C,Centaurea ambigua Guss. subsp. ambigua,Centaurea arrigonii Greuter,p
2003,11,C,Centaurea triumfettii All.,Centaurea triumfettii All.,p
2003,11,C,Chamaecytisus hirsutus (L.) Link,Cytisus hirsutus L.,p
2003,11,C,Cuscuta epithymum (L.) L.,Cuscuta epithymum (L.) L. subsp. epithymum ,p
2003,11,C,Cytisus sessilifolius L.,Cytisophyllum sessilifolium (L.) O.Lang,p
2003,11,C,Dianthus sylvestris Wulfen subsp. garganicus (Grande) Pignatti,Dianthus virgineus L.,p
2003,11,C,Eryngium amethystinum L.,Eryngium amethystinum L.,p
2003,11,C,Festuca circummediterranea Patzke,Festuca circummediterranea Patzke,p
2003,11,C,Globularia punctata Lapeyr.,Globularia bisnagarica L.,p
2003,11,C,Gymnadenia conopsea (L.) R.Br.,Gymnadenia conopsea (L.) R.Br.,p
2003,11,C,Helianthemum canum (L.) Baumg. subsp. canum,Helianthemum oelandicum (L.) Dum.Cours. subsp. incanum (Willk.) G.López,p
2003,11,C,Helianthemum nummularium (L.) Mill. subsp. obscurum (Čelak.) Holub,Helianthemum nummularium (L.) Mill. subsp. obscurum (Čelak.) Holub,p
