Year,Plot,Layer ,Pignatti_1982,Bartolucci et al_2024,spp_presence_cover 
2002,10,C,Senecio doronicum L. subsp. doronicum,Senecio doronicum (L.) L. subsp. doronicum,p
2002,10,C,Silene italica (L.) Pers. subsp. italica,Silene italica (L.) Pers. subsp. italica,p
2002,10,C,Sorbus aria (L.) Crantz,Sorbus aria (L.) Crantz,p
2002,10,C,Stachys recta L. subsp. recta,Stachys recta L. subsp. recta,p
2002,10,C,Teucrium chamaedrys L.,Teucrium chamaedrys L. subsp. chamaedrys,p
2002,10,C,Thymus longicaulis Presl,Thymus longicaulis C.Presl subsp. longicaulis,p
2002,10,C,Trinia glauca (L.) Dumort. subsp. carniolica (Kerner) Wolff,Trinia glauca (L.) Dumort. subsp. carniolica (A.Kern. ex Janch.) H.Wolff,p
2003,10,C,Acinos alpinus (L.) Moench,Ziziphora granatensis (Boiss. & Reut.) Melnikov subsp. alpina (L.) Bräuchler & Gutermann,p
2003,10,C,Asperula cynanchica L.,Cynanchica pyrenaica (L.) P.Caputo & Del Guacchio subsp. cynanchica (L.) P.Caputo & Del Guacchio,p
2003,10,C,Asperula purpurea (L.) Ehrend.,Thliphthisa purpurea (L.) P.Caputo & Del Guacchio subsp. purpurea,p
2003,10,C,Astragalus sempervirens Lam. subsp. gussonei Pignatti,Astragalus sempervirens Lam.,p
2003,10,C,Brachypodium rupestre (Host) Roem. & Schult. subsp. rupestre,Brachypodium rupestre (Host) Roem. & Schult.,p
2003,10,C,Bromus erectus Huds.,Bromopsis erecta (Huds.) Fourr.,p
2003,10,C,Campanula glomerata L.,Campanula glomerata L.,p
2003,10,C,Carlina acaulis L.,Carlina acaulis L. subsp. caulescens (Lam.) Schübl. & G.Martens,p
2003,10,C,Centaurea ambigua Guss. subsp. ambigua,Centaurea arrigonii Greuter,p
2003,10,C,Centaurea bracteata Scop.,Centaurea jacea L. subsp. gaudinii (Boiss. & Reut.) Gremli,p
2003,10,C,Cephalaria transsylvanica (L.) Schrader,Cephalaria transsylvanica (L.) Roem. & Schult.,p
2003,10,C,Cuscuta epithymum (L.) L.,Cuscuta epithymum (L.) L. subsp. epithymum ,p
2003,10,C,Cytisus sessilifolius L.,Cytisophyllum sessilifolium (L.) O.Lang,p
2003,10,C,Eryngium amethystinum L.,Eryngium amethystinum L.,p
2003,10,C,Festuca circummediterranea Patzke,Festuca circummediterranea Patzke,p
2003,10,C,Globularia punctata Lapeyr.,Globularia bisnagarica L.,p
2003,10,C,Helianthemum canum (L.) Baumg. subsp. canum,Helianthemum oelandicum (L.) Dum.Cours. subsp. incanum (Willk.) G.López,p
2003,10,C,Hieracium pilosella L.,Pilosella officinarum F.W.Schultz & Sch.Bip.,p
2003,10,C,Knautia purpurea (Vill.) Borbás,Knautia calycina (C.Presl) Guss.,p
2003,10,C,Koeleria macrantha (Ledeb.) Sprengel,Koeleria macrantha (Ledeb.) Schult. subsp. macrantha,p
2003,10,C,Lathyrus sylvestris L.,Lathyrus sylvestris L. subsp. sylvestris,p
2003,10,C,Lotus corniculatus L.,Lotus corniculatus L. subsp. corniculatus,p
2003,10,C,Onobrychis viciifolia Scop.,Onobrychis viciifolia Scop.,p
2003,10,C,Ononis pusilla L.,Ononis pusilla L. subsp. pusilla,p
2003,10,C,Phleum ambiguum Ten.,Phleum hirsutum Honck. subsp. ambiguum (Ten.) Cif. & Giacom.,p
2003,10,C,Primula veris L. subsp. columnae (Ten.) Ludi,Primula veris L. subsp. columnae (Ten.) Maire & Petitm.,p
2003,10,C,Sanguisorba minor Scop. subsp. muricata (Gremli) Briq.,Poterium sanguisorba L. subsp. balearicum (Bourg. ex Nyman) Stace,p
2003,10,C,Sedum rupestre L. subsp. rupestre,Petrosedum rupestre (L.) P.V.Heath,p
2003,10,C,Sesleria nitida Ten.,Sesleria nitida Ten.,p
2003,10,C,Stachys recta L. subsp. recta,Stachys recta L. subsp. recta,p
2003,10,C,Thymus longicaulis Presl,Thymus longicaulis C.Presl subsp. longicaulis,p
2003,10,C,Trifolium montanum L. subsp. rupestre (Ten.) Pignatti,Trifolium montanum L. subsp. rupestre (Ten.) Nyman,p
2003,10,C,Trifolium ochroleucum Huds.,Trifolium ochroleucon Huds.,p
2015,10,B,Acer obtusatum Waldst. & Kit.,Acer opalus Mill. subsp. obtusatum (Waldst. & Kit. ex Willd.) Gams,1
2015,10,B,Cytisus sessilifolius L.,Cytisophyllum sessilifolium (L.) O.Lang,2
2015,10,B,Prunus spinosa L.,Prunus spinosa L. subsp. spinosa,1
2015,10,B,Rosa canina L.,Rosa canina L.,1
2015,10,B,Rubus ulmifolius Schott,Rubus ulmifolius Schott,1
2015,10,C,Acinos alpinus (L.) Moench,Ziziphora granatensis (Boiss. & Reut.) Melnikov subsp. alpina (L.) Bräuchler & Gutermann,+
2015,10,C,Aethionema saxatile (L.) R. Br.,Aethionema saxatile (L.) W.T.Aiton,+
2015,10,C,Anchusa barrelieri (All.) Vitman,Cynoglottis barrelieri (All.) Vural & Kit Tan subsp. barrelieri,+
2015,10,C,Anthemis tinctoria L.,Cota tinctoria (L.) J.Gay subsp. australis (R.Fern.) Oberpr. & Greuter,+
2015,10,C,Asperula cynanchica L.,Cynanchica pyrenaica (L.) P.Caputo & Del Guacchio subsp. cynanchica (L.) P.Caputo & Del Guacchio,+
2015,10,C,Asperula purpurea (L.) Ehrend.,Thliphthisa purpurea (L.) P.Caputo & Del Guacchio subsp. purpurea,1
2015,10,C,Brachypodium rupestre (Host) Roem. & Schult.,Brachypodium rupestre (Host) Roem. & Schult.,+
2015,10,C,Bromus erectus Huds.,Bromopsis erecta (Huds.) Fourr.,2
